"","UMAP_1","UMAP_2"
"SRR3986024",-1.11734666208163,-0.104538854341301
"SRR3986025",1.61471549888715,-1.7384300195978
"SRR3986026",-1.1933933673276,-1.97986485449532
"SRR3986027",-0.465332168139368,-3.89386015770892
"SRR3986029",-1.73956884721652,0.799503866453377
"SRR3986031",-1.66677584031954,0.858673874159066
"SRR3986032",-0.689603227175623,2.67636686923048
"SRR3986034",-1.04672827104464,3.0117941534712
"SRR3986035",1.35004721304044,-6.07123177884081
"SRR3986036",1.49824593683347,-1.98308680964568
"SRR3986037",-0.557532924212366,-3.29414456723193
"SRR3986038",0.999039870701879,-1.8582194337056
"SRR3986039",0.407410484753698,-4.0647816026018
"SRR3986041",0.911537033520788,-2.79756468174914
"SRR3986042",1.11772249361143,-0.745419439058097
"SRR3986043",1.69849954267606,-1.71914183733919
"SRR3986044",-0.735897201098353,-2.30224364636401
"SRR3986046",1.18105803152189,-1.25127279398898
"SRR3986047",-1.30301989892855,2.29971367480299
"SRR3986048",1.51031969209775,-1.57788467047671
"SRR3986050",-0.560144084490687,2.77272469164869
"SRR3986051",0.470841986142248,-1.88710208622673
"SRR3986052",1.21869991441831,-0.831391271333488
"SRR3986053",-1.01353158334628,1.69111234309217
"SRR3986054",1.28283701559171,-1.91957030737707
"SRR3986056",-0.633336204089075,0.818699661512581
"SRR3986057",-1.0907916007413,-1.09845149157503
"SRR3986058",1.30905936380491,0.59302646281263
"SRR3986059",-0.49998106340304,-1.93636498520085
"SRR3986060",-1.03165234903231,2.67497259737989
"SRR3986061",1.11582873483762,-1.51842108009318
"SRR3986062",0.617437464200109,-2.33536862967471
"SRR3986063",-4.24749292711154,-1.63575821755389
"SRR3986064",-0.928475993670374,1.5785518324568
"SRR3986065",-0.616216319598109,3.04319388033888
"SRR3986066",-1.05109228471652,-0.190374311189445
"SRR3986067",0.911870700322241,-0.454444226007255
"SRR3986068",1.12917659898862,-0.363744553308281
"SRR3986069",-1.4939624247922,-0.0397000872896038
"SRR3986070",0.179659468136877,-2.28307166336039
"SRR3986071",1.36356113573179,-1.13842981694201
"SRR3986072",1.68262473960981,-1.87082061557034
"SRR3986073",-1.43782104829684,0.508673731107918
"SRR3986074",-0.297072785891443,2.99984032275221
"SRR3986075",1.19677911420926,-0.82182675240496
"SRR3986077",1.13858459611997,-2.48295604823092
"SRR3986078",0.924424272976965,-1.17577564356783
"SRR3986079",-0.872190850771815,2.7064905798628
"SRR3986080",1.6857860507594,0.265621963758675
